Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Kingston upon Thames - Tolworth & Hook Rise,20.46171057,12.9,27.2,26.1,8
Barking & Dagenham - Mayesbrook,27.10307484,10.8,31.2,25,8.2
Hillingdon - Botwell,24.96341626,9.1,60.2,42.7,17.9
Southwark - Rotherhithe,17.23786655,7.4,40.9,43.4,15.2
Tower Hamlets - Weavers,17.34060276,7,47.9,41.2,16.7
Hammersmith & Fulham - Wormholt & White City,22.66039286,9,50.6,45,14.3
Hounslow - Hounslow Central,18.53121498,9.5,70.7,64.5,29.5
Waltham Forest - Chapel End,24.11614369,8,48.5,36.9,14.1
Lambeth - Clapham Common,15.60846561,6.8,24.3,33.5,7.6
Westminster - Abbey Road,17.45777778,14,35.4,56.9,20.4
Hackney - Lordship,27.45114007,8.4,30.5,31.4,13.1
Merton - Trinity,16.93202694,8.2,22.2,36.1,9.8
Camden - Frognal & Fitzjohns,17.91256466,14,25.8,48.5,14.6
Westminster - Hyde Park,12.74273792,9.9,44.7,64.2,34.1
Newham - East Ham Central,22.45398002,7.1,81.9,61.4,29.1
Lambeth - Prince's,16.89805076,9.3,43.4,38.5,12.4
Ealing - Hobbayne,22.60172886,11.3,37.7,40.7,17.2
Bromley - Biggin Hill,18.95286906,16.3,4.1,5.1,0.5
Lambeth - Saint Leonard's,17.03780069,7.6,38.9,40.4,15.8
Bromley - West Wickham,19.853534,19.7,10.6,9.7,1.3
Islington - Clerkenwell,12.23672759,8.2,29.3,38.5,12.6
Lewisham - Whitefoot,25.7912836,11.3,50.5,29.5,6.8
Wandsworth - West Hill,18.84526277,9.5,31.7,43.5,13.5
Waltham Forest - Markhouse,23.16661778,7.8,58.2,45.8,19
Redbridge - Chadwell,24.66858385,10.3,56.9,31.6,9.9
Harrow - Kenton East,18.73765488,12.4,73.4,57.1,24.7
Enfield - Chase,22.19154193,13.2,23.4,21,7
Lewisham - Perry Vale,20.68766808,9.6,42.5,30.5,7.2
Kensington & Chelsea - Stanley,14.58409674,14.5,19,48.7,19.3
Barnet - Garden Suburb,20.36537134,16.3,21.4,36,10.9
Islington - Hillrise,19.24707478,9,33.7,32.9,10.4
Sutton - Nonsuch,18.55088807,17.3,15.3,15.7,3.6
Brent - Mapesbury,16.06671389,8.3,43.4,52.3,21.3
Lewisham - Evelyn,23.20062639,6,60.9,44.8,16
Harrow - Roxeth,22.84146446,11,66.3,48.4,19.8
Hammersmith & Fulham - Fulham Reach,12.60392712,8.5,30.5,43.6,14
Merton - Ravensbury,21.24799358,13.5,38.9,36,13.1
Newham - Royal Docks,21.06938852,4,54.1,48.3,18.1
Kensington & Chelsea - Earl's Court,11.46748682,8.8,35.4,61,29.6
Enfield - Jubilee,23.79658656,11.9,50.9,40.8,16.9
Barking & Dagenham - Whalebone,23.6501182,11.6,44,29.2,8.4
Greenwich - Charlton,21.81438999,10.7,36.2,31,9.4
Newham - Forest Gate North,21.27083718,6.9,64.1,50.5,21
Hackney - De Beauvoir,16.1034963,7,39.9,37.8,11.7
Hammersmith & Fulham - Askew,17.21751412,7.8,37,42.5,14.8
Brent - Fryent,20.86277427,11.8,62.7,55.9,21.9
Brent - Dudden Hill,20.39976094,9.7,55.9,56.2,23.8
Bexley - Cray Meadows,20.51396449,17.6,11,9.9,2.3
Kingston upon Thames - Saint Mark's,11.07507393,8.2,21.3,29.1,8.9
Newham - Forest Gate South,19.4102062,6.5,68.2,54.8,25.5
Greenwich - Coldharbour & New Eltham,18.61123871,16.9,18.3,15.6,3.6
Ealing - Northolt Mandeville,23.50655338,10.7,51.7,44.1,19.5
Ealing - East Acton,19.25050786,8.2,50.1,54.4,22.4
Lambeth - Tulse Hill,21.02593368,6.6,52.6,38.6,11.3
Richmond upon Thames - West Twickenham,21.78951368,11.7,16,21.1,4.4
Ealing - Cleveland,21.70627833,11.9,36.9,39.6,15.1
Sutton - Worcester Park,20.78936079,13.4,20,21.5,6.1
Enfield - Highlands,16.90758112,18.5,20.8,20.9,5.4
Hackney - Brownswood,14.43512758,6.2,38.2,42.7,18.6
Barking & Dagenham - Goresbrook,26.56430283,10,33.3,26.8,7.7
Brent - Queensbury,20.08578027,12.2,72.9,57.7,24.1
Waltham Forest - Hale End & Highams Park,22.73007486,11.4,33.1,21.8,5.9
Wandsworth - Latchmere,18.96080219,8.5,44.5,39.7,11.5
Redbridge - Aldborough,23.00605061,12.4,61.3,38.4,12.8
Merton - Cricket Green,23.31357853,10.8,47.5,39.5,14.5
Haringey - Tottenham Hale,23.64577801,7.8,57.4,53.5,22.3
Newham - East Ham South,27.85232745,7.4,67.7,46.6,19.7
Kensington & Chelsea - Hans Town,12.59099181,14.6,23.5,55.6,24.8
Croydon - Selhurst,24.55354675,8.7,65.6,40.1,11.5
Redbridge - Goodmayes,24.08753539,8,75.2,46.3,18.5
Southwark - Peckham,24.26630435,6.2,70.8,47.6,12.3
Enfield - Bush Hill Park,18.02054155,17.2,26.8,25.7,7.7
Bexley - Thamesmead East,27.1622292,6.8,52.7,38.1,7.6
Enfield - Edmonton Green,27.97370327,8.4,60.6,46.8,21.4
Bromley - Plaistow & Sundridge,19.62703346,14.8,19.3,16.9,3.9
Tower Hamlets - Spitalfields & Banglatown,13.70795256,5.6,54.7,50.7,24.6
